88	0098
89	009C
8D	200D
8E	200C
A1	0141
A2	00D8
A3	0110
A4	00DE
A5	00C6
A6	0152
A7	02B9
A8	00B7
A9	266D
AA	00AE
AB	00B1
AC	01A0
AD	01AF
AE	02BC
B0	02BB
B1	0142
B2	00F8
B3	0111
B4	00FE
B5	00E6
B6	0153
B7	02BA
B8	0131
B9	00A3
BA	00F0
BC	01A1
BD	01B0
C0	00B0
C1	2113
C2	2117
C3	00A9
C4	266F
C5	00BF
C6	00A1
C7	00DF
C8	20AC
E0	0309
E1	0300
E2	0301
E3	0302
E4	0303
E5	0304
E6	0306
E7	0307
E8	0308
E9	030C
EA	030A
EB	FE20
EC	FE21
ED	0315
EE	030B
EF	0310
F0	0327
F1	0328
F2	0323
F3	0324
F4	0325
F5	0333
F6	0332
F7	0326
F8	031C
F9	032E
FA	FE22
FB	FE23
FE	0313
